"","AdultHeadBodyLen_mm","AdultBodyMass_g","LitterSize","GR_Area_km2","ActivityCycle","TrophicLevel","HabitatBreadth","DietBreadth","Order","Family","Genus","Species"
"Didelphis_aurita",NA,1105.88,6.11,1075333.48,"nocturnal","omnivore",NA,"4","Didelphimorphia","Didelphidae","Didelphis","aurita"
"Didelphis_imperfecta",NA,NA,NA,142295.28,NA,NA,NA,NA,"Didelphimorphia","Didelphidae","Didelphis","imperfecta"
"Didelphis_marsupialis",402.7,1134.75,7.09,7324303.06,"nocturnal","omnivore","2","3","Didelphimorphia","Didelphidae","Didelphis","marsupialis"
"Didelphis_pernigra",NA,NA,NA,NA,NA,NA,NA,NA,"Didelphimorphia","Didelphidae","Didelphis","pernigra"
"Didelphis_virginiana",NA,2442.08,8.62,5696037.14,"nocturnal","omnivore","2","4","Didelphimorphia","Didelphidae","Didelphis","virginiana"
"Dinaromys_bogdanovi",NA,56,2.5,117073.5,NA,NA,NA,NA,"Rodentia","Cricetidae","Dinaromys","bogdanovi"
"Dinomys_branickii",750,12500,1.97,1963973.9,"nocturnal","herbivore","2","4","Rodentia","Dinomyidae","Dinomys","branickii"
"Diomys_crumpi",NA,NA,NA,283011.21,NA,NA,NA,NA,"Rodentia","Muridae","Diomys","crumpi"
"Diphylla_ecaudata",78.99,28.11,0.99,8019521.93,NA,"carnivore","1","1","Chiroptera","Phyllostomidae","Diphylla","ecaudata"
"Diplogale_hosei",599.13,NA,NA,14471.88,"nocturnal","omnivore","1","6","Carnivora","Viverridae","Diplogale","hosei"
"Diplomesodon_pulchellum",NA,11,4.99,978642.88,NA,NA,NA,NA,"Soricomorpha","Soricidae","Diplomesodon","pulchellum"
"Diplomys_caniceps",NA,394.49,NA,26895.61,"nocturnal","herbivore","1","2","Rodentia","Echimyidae","Diplomys","caniceps"
"Diplomys_labilis",NA,282.17,1.18,140013.69,"nocturnal","herbivore","2","2","Rodentia","Echimyidae","Diplomys","labilis"
"Diplomys_rufodorsalis",NA,144.8,NA,48212.86,"nocturnal","herbivore","1","2","Rodentia","Echimyidae","Diplomys","rufodorsalis"
"Diplothrix_legata",NA,NA,NA,2170.25,NA,NA,NA,NA,"Rodentia","Muridae","Diplothrix","legata"
"Dipodillus_bottai",NA,NA,NA,31544.35,NA,NA,NA,NA,"Rodentia","Muridae","Dipodillus","bottai"
"Dipodillus_campestris",90.79,27.58,4.34,3220799.02,NA,NA,NA,NA,"Rodentia","Muridae","Dipodillus","campestris"
"Dipodillus_dasyurus",83.05,27.5,3.88,1314357.85,NA,NA,NA,NA,"Rodentia","Muridae","Dipodillus","dasyurus"
"Dipodillus_harwoodi",NA,NA,NA,207700.84,NA,NA,NA,NA,"Rodentia","Muridae","Dipodillus","harwoodi"
"Dipodillus_jamesi",NA,NA,NA,814.17,NA,NA,NA,NA,"Rodentia","Muridae","Dipodillus","jamesi"
"Dipodillus_lowei",NA,NA,NA,6901.71,NA,NA,NA,NA,"Rodentia","Muridae","Dipodillus","lowei"
"Dipodillus_mackilligini",NA,NA,NA,107414.97,NA,NA,NA,NA,"Rodentia","Muridae","Dipodillus","mackilligini"
"Dipodillus_maghrebi",NA,NA,NA,1026.27,NA,NA,NA,NA,"Rodentia","Muridae","Dipodillus","maghrebi"
"Elephantulus_fuscus",NA,NA,1.39,269841.51,NA,"carnivore",NA,"1","Macroscelidea","Macroscelididae","Elephantulus","fuscus"
"Elephantulus_intufi",117.61,48.9,1.55,1304584.51,"diurnal","carnivore","2","1","Macroscelidea","Macroscelididae","Elephantulus","intufi"
"Elephantulus_myurus",128.25,59.51,1.84,1016019.35,"diurnal","omnivore","1","3","Macroscelidea","Macroscelididae","Elephantulus","myurus"
"Elephantulus_revoili",NA,32.49,NA,127810,NA,NA,NA,NA,"Macroscelidea","Macroscelididae","Elephantulus","revoili"
"Elephantulus_rozeti",NA,43.07,2.13,847148.97,NA,NA,"2",NA,"Macroscelidea","Macroscelididae","Elephantulus","rozeti"
"Elephantulus_rufescens",249.83,52.78,1.41,1140379.85,"other","omnivore","1","5","Macroscelidea","Macroscelididae","Elephantulus","rufescens"
"Elephantulus_rupestris",122.15,65.56,1.84,627256.04,NA,NA,"2",NA,"Macroscelidea","Macroscelididae","Elephantulus","rupestris"
"Elephas_maximus",1919.2,3269794.34,1.41,1429082.59,"other","herbivore","1","3","Proboscidea","Elephantidae","Elephas","maximus"
"Eligmodontia_moreni",NA,18,NA,14673.54,NA,NA,NA,NA,"Rodentia","Cricetidae","Eligmodontia","moreni"
"Eligmodontia_morgani",NA,16.5,NA,213111.63,NA,NA,NA,NA,"Rodentia","Cricetidae","Eligmodontia","morgani"
"Eligmodontia_puerulus",NA,28.49,NA,423135.02,NA,NA,NA,NA,"Rodentia","Cricetidae","Eligmodontia","puerulus"
"Eligmodontia_typus",NA,17.37,6.24,587545.76,"nocturnal","herbivore","2","1","Rodentia","Cricetidae","Eligmodontia","typus"
"Eliomys_melanurus",137.5,100.36,4.99,313223.51,NA,"omnivore",NA,"4","Rodentia","Gliridae","Eliomys","melanurus"
"Eliomys_munbyanus",NA,NA,NA,NA,NA,NA,NA,NA,"Rodentia","Gliridae","Eliomys","munbyanus"
"Eliomys_quercinus",138.74,114.61,4.99,3870497.26,"nocturnal","omnivore","2","5","Rodentia","Gliridae","Eliomys","quercinus"
"Eliurus_antsingy",NA,NA,NA,NA,NA,NA,NA,NA,"Rodentia","Nesomyidae","Eliurus","antsingy"
"Eliurus_ellermani",NA,100,NA,NA,NA,NA,NA,NA,"Rodentia","Nesomyidae","Eliurus","ellermani"
"Eliurus_grandidieri",NA,NA,NA,NA,NA,NA,NA,NA,"Rodentia","Nesomyidae","Eliurus","grandidieri"
"Eliurus_majori",NA,100,NA,68679.86,NA,NA,NA,NA,"Rodentia","Nesomyidae","Eliurus","majori"
"Eliurus_minor",128.24,57.53,NA,72857.79,"nocturnal",NA,"1",NA,"Rodentia","Nesomyidae","Eliurus","minor"
"Eliurus_myoxinus",127.5,69.76,NA,92064.6,"nocturnal","omnivore","2","3","Rodentia","Nesomyidae","Eliurus","myoxinus"
"Eliurus_penicillatus",NA,100,NA,118.48,NA,NA,NA,NA,"Rodentia","Nesomyidae","Eliurus","penicillatus"
"Eliurus_petteri",NA,75,NA,NA,NA,NA,NA,NA,"Rodentia","Nesomyidae","Eliurus","petteri"
"Eliurus_tanala",NA,89.99,NA,29102.38,NA,NA,NA,NA,"Rodentia","Nesomyidae","Eliurus","tanala"
"Eliurus_webbi",NA,61.13,NA,85117.66,NA,"herbivore",NA,"1","Rodentia","Nesomyidae","Eliurus","webbi"
"Ellobius_alaicus",NA,NA,NA,2999.15,NA,NA,NA,NA,"Rodentia","Cricetidae","Ellobius","alaicus"
"Ellobius_fuscocapillus",NA,80,3.46,560273.09,NA,"herbivore",NA,"1","Rodentia","Cricetidae","Ellobius","fuscocapillus"
"Ellobius_lutescens",NA,NA,4.66,703238.29,NA,NA,NA,NA,"Rodentia","Cricetidae","Ellobius","lutescens"
"Ellobius_talpinus",NA,40,3.67,3707268.83,NA,NA,"1",NA,"Rodentia","Cricetidae","Ellobius","talpinus"
"Ellobius_tancrei",NA,NA,NA,4105446.5,NA,NA,NA,NA,"Rodentia","Cricetidae","Ellobius","tancrei"
"Emballonura_alecto",NA,5.25,NA,1034172.29,"nocturnal",NA,"1",NA,"Chiroptera","Emballonuridae","Emballonura","alecto"
"Emballonura_atrata",57.5,4.55,NA,130634.93,"other","carnivore","1","1","Chiroptera","Emballonuridae","Emballonura","atrata"
"Emballonura_beccarii",NA,4.31,NA,150538.97,"nocturnal",NA,"1",NA,"Chiroptera","Emballonuridae","Emballonura","beccarii"
"Emballonura_dianae",NA,NA,NA,75205.95,"nocturnal",NA,"1",NA,"Chiroptera","Emballonuridae","Emballonura","dianae"
"Emballonura_furax",NA,NA,NA,143071.76,"nocturnal",NA,"1",NA,"Chiroptera","Emballonuridae","Emballonura","furax"
"Emballonura_monticola",NA,5.35,1,1495997.23,"nocturnal","carnivore","1","1","Chiroptera","Emballonuridae","Emballonura","monticola"
"Emballonura_raffrayana",NA,5.61,NA,432542.2,"nocturnal",NA,"1",NA,"Chiroptera","Emballonuridae","Emballonura","raffrayana"
"Emballonura_semicaudata",47,6.29,NA,2369.52,"nocturnal",NA,"1",NA,"Chiroptera","Emballonuridae","Emballonura","semicaudata"
"Emballonura_serii",NA,NA,NA,1213.29,NA,NA,NA,NA,"Chiroptera","Emballonuridae","Emballonura","serii"
"Enchisthenes_hartii",NA,16.99,0.99,3507398.71,NA,"herbivore","1","1","Chiroptera","Phyllostomidae","Enchisthenes","hartii"
"Hesperoptenus_doriae",NA,NA,NA,6872.68,NA,NA,"1",NA,"Chiroptera","Vespertilionidae","Hesperoptenus","doriae"
"Hesperoptenus_gaskelli",NA,NA,NA,8.89,NA,NA,"1",NA,"Chiroptera","Vespertilionidae","Hesperoptenus","gaskelli"
"Hesperoptenus_tickelli",NA,16.3,1,425021.1,NA,NA,"1",NA,"Chiroptera","Vespertilionidae","Hesperoptenus","tickelli"
"Hesperoptenus_tomesi",NA,NA,NA,4472.42,NA,NA,"1",NA,"Chiroptera","Vespertilionidae","Hesperoptenus","tomesi"
"Heterocephalus_glaber",129.61,39.36,11.3,1324439.84,"other","herbivore","1","1","Rodentia","Bathyergidae","Heterocephalus","glaber"
"Heterohyrax_brucei",468.99,2453.66,1.89,6954996.2,"diurnal","herbivore","2","5","Hyracoidea","Procaviidae","Heterohyrax","brucei"
"Heteromys_anomalus",NA,69.06,2.83,238956.98,"nocturnal","omnivore","1","3","Rodentia","Heteromyidae","Heteromys","anomalus"
"Heteromys_australis",NA,267.49,2.75,33112.2,"nocturnal","herbivore","1","2","Rodentia","Heteromyidae","Heteromys","australis"
"Heteromys_desmarestianus",NA,74,3.06,479714.68,"nocturnal","herbivore","1","2","Rodentia","Heteromyidae","Heteromys","desmarestianus"
"Lagostomus_maximus",523.73,4660.94,1.93,1907434.12,"other","herbivore","2","4","Rodentia","Chinchillidae","Lagostomus","maximus"
"Lagostrophus_fasciatus",NA,1933.48,0.9,708.99,"nocturnal","herbivore","1","4","Diprotodontia","Macropodidae","Lagostrophus","fasciatus"
"Lagothrix_cana",NA,NA,NA,1686027.51,NA,NA,NA,NA,"Primates","Atelidae","Lagothrix","cana"
"Lagothrix_lagotricha",536.39,6263.69,1.01,797455.26,"diurnal","omnivore","1","4","Primates","Atelidae","Lagothrix","lagotricha"
"Lagothrix_lugens",NA,NA,NA,129980.9,NA,NA,NA,NA,"Primates","Atelidae","Lagothrix","lugens"
"Lagothrix_poeppigii",NA,NA,NA,667396.02,NA,NA,NA,NA,"Primates","Atelidae","Lagothrix","poeppigii"
"Lagurus_lagurus",92.52,20.6,4,3753224.56,NA,NA,NA,NA,"Rodentia","Cricetidae","Lagurus","lagurus"
"Lama_glama",1595.1,78322.67,1,NA,NA,"herbivore","1","2","Artiodactyla","Camelidae","Lama","glama"
"Lamottemys_okuensis",NA,NA,NA,10305.29,NA,NA,NA,NA,"Rodentia","Muridae","Lamottemys","okuensis"
"Eudorcas_rufina",NA,39999.99,NA,NA,NA,NA,NA,NA,"Artiodactyla","Bovidae","Eudorcas","rufina"
"Eudorcas_thomsonii",885,22907.43,1,515821.13,"other","herbivore","1","2","Artiodactyla","Bovidae","Eudorcas","thomsonii"
"Eulemur_albifrons",NA,NA,NA,35602.37,NA,NA,NA,NA,"Primates","Lemuridae","Eulemur","albifrons"
"Eulemur_albocollaris",NA,2397.37,NA,1864.78,NA,NA,NA,NA,"Primates","Lemuridae","Eulemur","albocollaris"
"Eulemur_cinereiceps",NA,NA,NA,103.56,NA,NA,NA,NA,"Primates","Lemuridae","Eulemur","cinereiceps"
"Eulemur_collaris",NA,NA,NA,12809.32,NA,NA,NA,NA,"Primates","Lemuridae","Eulemur","collaris"
"Eulemur_coronatus",352.27,1699.85,1.53,5720.16,"other","omnivore","2","4","Primates","Lemuridae","Eulemur","coronatus"
"Eulemur_fulvus",469.62,2376.99,1.1,25656.44,"other","herbivore","1","3","Primates","Lemuridae","Eulemur","fulvus"
"Eulemur_macaco",397.11,2470.43,1.04,8406.83,"other","omnivore","1","4","Primates","Lemuridae","Eulemur","macaco"
"Eulemur_mongoz",354.85,1771.13,1.11,7006.3,"other","omnivore","1","4","Primates","Lemuridae","Eulemur","mongoz"
"Eulemur_rubriventer",404.72,2015.4,1.01,56908.42,"other","omnivore","1","4","Primates","Lemuridae","Eulemur","rubriventer"
"Eulemur_rufus",457.01,2394.62,NA,71558.47,"other",NA,NA,NA,"Primates","Lemuridae","Eulemur","rufus"
"Eulemur_sanfordi",NA,2394.03,NA,4197.82,"other",NA,NA,NA,"Primates","Lemuridae","Eulemur","sanfordi"
"Eumetopias_jubatus",2692.71,382466.74,0.96,NA,"nocturnal","omnivore","2","6","Carnivora","Otariidae","Eumetopias","jubatus"
"Galago_thomasi",NA,117.35,NA,4366268.46,NA,NA,NA,NA,"Primates","Galagidae","Galago","thomasi"
"Galago_zanzibaricus",NA,147.35,1.29,1375379.35,NA,"omnivore",NA,"4","Primates","Galagidae","Galago","zanzibaricus"
"Galea_flavidens",NA,450,NA,663119.59,"diurnal","herbivore","2","1","Rodentia","Caviidae","Galea","flavidens"
"Galea_musteloides",NA,386.64,2.6,1147818.41,"diurnal","herbivore","2","2","Rodentia","Caviidae","Galea","musteloides"
"Galea_spixii",NA,360.61,2.19,5441291.73,"diurnal","herbivore","2","1","Rodentia","Caviidae","Galea","spixii"
"Galemys_pyrenaicus",125,60.17,3.54,171300.87,"other","carnivore","3","2","Soricomorpha","Talpidae","Galemys","pyrenaicus"
"Galenomys_garleppi",NA,59.3,NA,141711.01,NA,NA,NA,NA,"Rodentia","Cricetidae","Galenomys","garleppi"
"Galeopterus_variegates",379.43,1112.2,1,1401022.2,"nocturnal","herbivore","1","3","Dermoptera","Cynocephalidae","Galeopterus","variegates"
"Galerella_flavescens",NA,750,NA,279748.74,NA,NA,"1",NA,"Carnivora","Herpestidae","Galerella","flavescens"
"Galerella_ochracea",NA,NA,NA,452479.81,NA,NA,NA,NA,"Carnivora","Herpestidae","Galerella","ochracea"
"Galerella_pulverulenta",349.38,791.4,2.25,634570.78,"diurnal","carnivore","1","2","Carnivora","Herpestidae","Galerella","pulverulenta"
"Galerella_sanguinea",329.01,543.83,2.5,16368169.48,"diurnal","omnivore","1","6","Carnivora","Herpestidae","Galerella","sanguinea"
"Galictis_cuja",423.29,1000,NA,4564918.07,"other","carnivore","1","1","Carnivora","Mustelidae","Galictis","cuja"
"Galictis_vittata",NA,NA,NA,10078448.48,NA,NA,NA,NA,"Carnivora","Mustelidae","Galictis","vittata"
"Galidia_elegans",351.07,810,1,120561.29,"other","omnivore","4","6","Carnivora","Eupleridae","Galidia","elegans"
"Galidictis_fasciata",318.31,549.99,1,87237.59,"other","carnivore","1","2","Carnivora","Eupleridae","Galidictis","fasciata"
"Galidictis_grandidieri",359.99,1400,1,4044.38,"other","carnivore","1","2","Carnivora","Eupleridae","Galidictis","grandidieri"
"Gazella_arabica",1000,24124.67,1.5,17363.03,NA,"herbivore",NA,"2","Artiodactyla","Bovidae","Gazella","arabica"
"Gazella_bennettii",NA,18916.67,NA,1733312.37,NA,NA,NA,NA,"Artiodactyla","Bovidae","Gazella","bennettii"
"Gazella_cuvieri",NA,NA,NA,1047003.29,NA,NA,NA,NA,"Artiodactyla","Bovidae","Gazella","cuvieri"
"Gazella_dorcas",965.68,15635.95,1.22,10374953.94,"other","omnivore","1","6","Artiodactyla","Bovidae","Gazella","dorcas"
"Gazella_erlangeri",NA,NA,NA,153353.23,NA,NA,NA,NA,"Artiodactyla","Bovidae","Gazella","erlangeri"
"Gazella_gazella",1012.85,21306.83,1.22,1151478.67,"other","herbivore","1","3","Artiodactyla","Bovidae","Gazella","gazella"
"Gazella_leptoceros",1032.67,24645.75,1,2188576.06,NA,"herbivore","1","2","Artiodactyla","Bovidae","Gazella","leptoceros"
"Gazella_saudiya",NA,16000,NA,NA,NA,NA,NA,NA,"Artiodactyla","Bovidae","Gazella","saudiya"
"Gazella_spekei",885,20000,1,170828.32,NA,NA,"1",NA,"Artiodactyla","Bovidae","Gazella","spekei"
"Gazella_subgutturosa",957.35,26981.37,1.39,8787218.98,"other","herbivore","1","3","Artiodactyla","Bovidae","Gazella","subgutturosa"
"Genetta_abyssinica",422.85,1405.48,NA,418638.21,NA,NA,"1",NA,"Carnivora","Viverridae","Genetta","abyssinica"
"Genetta_angolensis",472.01,1859.64,NA,2087717.97,"nocturnal",NA,"1",NA,"Carnivora","Viverridae","Genetta","angolensis"
"Gerbillus_gerbillus",NA,26.99,4.14,11449433.72,NA,NA,NA,NA,"Rodentia","Muridae","Gerbillus","gerbillus"
"Gerbillus_gleadowi",NA,26.01,3,409918.82,NA,NA,NA,NA,"Rodentia","Muridae","Gerbillus","gleadowi"
"Gerbillus_grobbeni",NA,NA,NA,1373.45,NA,NA,NA,NA,"Rodentia","Muridae","Gerbillus","grobbeni"
"Bandicota_savilei",NA,260.63,NA,678506.64,NA,NA,NA,NA,"Rodentia","Muridae","Bandicota","savilei"
"Barbastella_barbastellus",NA,8.31,1.73,3884782.92,NA,"carnivore","1","1","Chiroptera","Vespertilionidae","Barbastella","barbastellus"
"Barbastella_leucomelas",NA,15.05,NA,3609915.54,NA,NA,"1",NA,"Chiroptera","Vespertilionidae","Barbastella","leucomelas"
"Bassaricyon_alleni",NA,NA,NA,467192.71,NA,NA,NA,NA,"Carnivora","Procyonidae","Bassaricyon","alleni"
"Bassaricyon_beddardi",NA,1235.01,NA,441326.32,"nocturnal",NA,"1",NA,"Carnivora","Procyonidae","Bassaricyon","beddardi"
"Bassaricyon_gabbii",411.27,1250,1,803202.18,"nocturnal","omnivore","2","6","Carnivora","Procyonidae","Bassaricyon","gabbii"
"Bassaricyon_lasius",NA,1200,NA,3842.65,"nocturnal",NA,"1",NA,"Carnivora","Procyonidae","Bassaricyon","lasius"
"Bassaricyon_pauli",NA,1200,NA,1402.79,"nocturnal",NA,"1",NA,"Carnivora","Procyonidae","Bassaricyon","pauli"
"Bassariscus_astutus",338.98,1010.37,3,3916072.44,"nocturnal","omnivore","1","6","Carnivora","Procyonidae","Bassariscus","astutus"
"Bassariscus_sumichrasti",423.73,906,2,625977.74,"nocturnal","omnivore","1","6","Carnivora","Procyonidae","Bassariscus","sumichrasti"
"Bathyergus_janetta",NA,388.69,3.49,33849.47,NA,"herbivore","1","4","Rodentia","Bathyergidae","Bathyergus","janetta"
"Bathyergus_suillus",278.86,777.38,2.89,59404.22,NA,"herbivore","2","3","Rodentia","Bathyergidae","Bathyergus","suillus"
"Batomys_dentatus",195,NA,NA,366.42,NA,NA,NA,NA,"Rodentia","Muridae","Batomys","dentatus"
"Batomys_granti",204,169.53,NA,731.71,NA,NA,NA,NA,"Rodentia","Muridae","Batomys","granti"
"Batomys_russatus",NA,NA,NA,NA,NA,NA,NA,NA,"Rodentia","Muridae","Batomys","russatus"
"Batomys_salomonseni",175,185.76,NA,102368.09,NA,NA,NA,NA,"Rodentia","Muridae","Batomys","salomonseni"
"Bauerus_dubiaquercus",NA,22.22,1.71,295020.71,NA,"carnivore","1","1","Chiroptera","Vespertilionidae","Bauerus","dubiaquercus"
"Bdeogale_crassicauda",444.53,1722.13,0.96,1654322.83,"nocturnal","carnivore","1","1","Carnivora","Herpestidae","Bdeogale","crassicauda"
"Bdeogale_jacksoni",NA,2500,NA,81428.64,NA,"carnivore","1","2","Carnivora","Herpestidae","Bdeogale","jacksoni"
"Bdeogale_nigripes",611.37,2623.01,1,3117248.8,"nocturnal","omnivore","1","6","Carnivora","Herpestidae","Bdeogale","nigripes"
"Beamys_hindei",149.23,75.8,3.49,123659.9,NA,NA,NA,NA,"Rodentia","Nesomyidae","Beamys","hindei"
"Beamys_major",NA,NA,4,57617.27,NA,NA,NA,NA,"Rodentia","Nesomyidae","Beamys","major"
"Beatragus_hunteri",1600,79132.17,1,30188.68,NA,"herbivore","1","1","Artiodactyla","Bovidae","Beatragus","hunteri"
"Belomys_pearsonii",NA,NA,NA,434941.74,NA,NA,NA,NA,"Rodentia","Sciuridae","Belomys","pearsonii"
"Berardius_arnuxii",NA,7000000.02,NA,NA,NA,"carnivore","1","1","Cetacea","Ziphiidae","Berardius","arnuxii"
"Berardius_bairdii",NA,11380000.04,0.98,NA,NA,"carnivore","1","2","Cetacea","Ziphiidae","Berardius","bairdii"
"Berylmys_berdmorei",NA,NA,NA,570245.86,NA,NA,NA,NA,"Rodentia","Muridae","Berylmys","berdmorei"
"Berylmys_bowersi",253.06,358.68,3.88,1734265.17,NA,NA,NA,NA,"Rodentia","Muridae","Berylmys","bowersi"
"Berylmys_mackenziei",NA,NA,NA,673463.77,NA,NA,NA,NA,"Rodentia","Muridae","Berylmys","mackenziei"
"Berylmys_manipulus",NA,NA,NA,386054.29,NA,NA,NA,NA,"Rodentia","Muridae","Berylmys","manipulus"
"Bettongia_gaimardi",330.01,1667.55,1,27971.29,"nocturnal",NA,NA,NA,"Diprotodontia","Potoroidae","Bettongia","gaimardi"
"Bettongia_lesueur",NA,1447.27,1,329.35,"nocturnal",NA,NA,NA,"Diprotodontia","Potoroidae","Bettongia","lesueur"
"Bettongia_penicillata",NA,1184.35,1,22986.14,"nocturnal",NA,NA,NA,"Diprotodontia","Potoroidae","Bettongia","penicillata"
"Bettongia_tropica",NA,1256.58,1,21795.64,"nocturnal",NA,NA,NA,"Diprotodontia","Potoroidae","Bettongia","tropica"
"Bibimys_chacoensis",NA,28,NA,7309.86,NA,NA,NA,NA,"Rodentia","Cricetidae","Bibimys","chacoensis"
"Bibimys_labiosus",NA,NA,NA,21850.7,NA,NA,NA,NA,"Rodentia","Cricetidae","Bibimys","labiosus"
"Bradypus_torquatus",549.99,4468.42,1,163652.84,"other","omnivore","3","4","Pilosa","Bradypodidae","Bradypus","torquatus"
"Bradypus_tridactylus",546.36,4375.8,1,1806393.57,"other","herbivore","1","1","Pilosa","Bradypodidae","Bradypus","tridactylus"
"Bradypus_variegatus",NA,4136.36,1,8222753.4,"other","herbivore","1","1","Pilosa","Bradypodidae","Bradypus","variegatus"
"Brotomys_contractus",NA,NA,NA,NA,NA,NA,NA,NA,"Rodentia","Echimyidae","Brotomys","contractus"
"Brotomys_voratus",NA,NA,NA,NA,NA,NA,NA,NA,"Rodentia","Echimyidae","Brotomys","voratus"
"Brucepattersonius_albinasus",NA,NA,NA,NA,NA,NA,NA,NA,"Rodentia","Cricetidae","Brucepattersonius","albinasus"
"Brucepattersonius_griserufescens",NA,NA,NA,NA,NA,NA,NA,NA,"Rodentia","Cricetidae","Brucepattersonius","griserufescens"
"Brucepattersonius_guarani",NA,NA,NA,NA,NA,NA,NA,NA,"Rodentia","Cricetidae","Brucepattersonius","guarani"
"Brucepattersonius_igniventris",NA,NA,NA,NA,NA,NA,NA,NA,"Rodentia","Cricetidae","Brucepattersonius","igniventris"
"Brucepattersonius_iheringi",NA,43,NA,93980.28,NA,"carnivore",NA,"1","Rodentia","Cricetidae","Brucepattersonius","iheringi"
"Brucepattersonius_misionensis",NA,NA,NA,NA,NA,NA,NA,NA,"Rodentia","Cricetidae","Brucepattersonius","misionensis"
"Brucepattersonius_paradisus",NA,NA,NA,NA,NA,NA,NA,NA,"Rodentia","Cricetidae","Brucepattersonius","paradisus"
"Brucepattersonius_soricinus",NA,NA,NA,NA,NA,NA,NA,NA,"Rodentia","Cricetidae","Brucepattersonius","soricinus"
"Bubalus_bubalis",2649.52,929500.97,1.5,978657.33,NA,"herbivore","1","2","Artiodactyla","Bovidae","Bubalus","bubalis"
"Bubalus_depressicornis",1728.58,256989.27,1,41026.7,"diurnal","herbivore","1","3","Artiodactyla","Bovidae","Bubalus","depressicornis"
"Bubalus_mindorensis",2199.99,254389.74,1,9912.75,"other","herbivore","1","2","Artiodactyla","Bovidae","Bubalus","mindorensis"
"Bubalus_quarlesi",1577.97,181718.86,1,56312.24,"diurnal","herbivore",NA,"3","Artiodactyla","Bovidae","Bubalus","quarlesi"
"Budorcas_taxicolor",1736,294515.33,1.22,402044.43,NA,"herbivore","1","3","Artiodactyla","Bovidae","Budorcas","taxicolor"
"Bullimus_bagobus",289.61,395.38,NA,119550.35,NA,NA,NA,NA,"Rodentia","Muridae","Bullimus","bagobus"
"Bullimus_gamay",NA,NA,NA,NA,NA,NA,NA,NA,"Rodentia","Muridae","Bullimus","gamay"
"Bullimus_luzonicus",239.99,NA,NA,36674.54,NA,NA,NA,NA,"Rodentia","Muridae","Bullimus","luzonicus"
"Bunolagus_monticularis",430,1750.01,1.22,37052.01,"nocturnal","herbivore",NA,"3","Lagomorpha","Leporidae","Bunolagus","monticularis"
"Bunomys_andrewsi",NA,NA,NA,117802.45,NA,NA,NA,NA,"Rodentia","Muridae","Bunomys","andrewsi"
"Bunomys_chrysocomus",NA,111.29,NA,153381.79,NA,NA,NA,NA,"Rodentia","Muridae","Bunomys","chrysocomus"
"Bunomys_coelestis",NA,NA,NA,680.95,NA,NA,NA,NA,"Rodentia","Muridae","Bunomys","coelestis"
"Bunomys_fratrorum",NA,130.31,NA,358.08,NA,NA,NA,NA,"Rodentia","Muridae","Bunomys","fratrorum"
"Bunomys_penitus",NA,NA,NA,49798.01,NA,NA,NA,NA,"Rodentia","Muridae","Bunomys","penitus"
"Bunomys_prolatus",NA,NA,NA,322.44,NA,NA,NA,NA,"Rodentia","Muridae","Bunomys","prolatus"
"Bunopithecus_hoolock",547.49,6699,1.01,267771.52,"diurnal","omnivore","1","5","Primates","Hylobatidae","Bunopithecus","hoolock"
"Cheiromeles_parvidens",NA,NA,NA,288626.23,NA,"carnivore",NA,"1","Chiroptera","Molossidae","Cheiromeles","parvidens"
"Cheiromeles_torquatus",NA,169.43,NA,1212454.98,NA,"carnivore","1","1","Chiroptera","Molossidae","Cheiromeles","torquatus"
"Chelemys_delfini",NA,NA,NA,NA,NA,NA,NA,NA,"Rodentia","Cricetidae","Chelemys","delfini"
"Chelemys_macronyx",NA,70.99,4.37,199620.99,"other","omnivore","2","4","Rodentia","Cricetidae","Chelemys","macronyx"
"Chelemys_megalonyx",NA,50.8,NA,119540.42,NA,NA,"2",NA,"Rodentia","Cricetidae","Chelemys","megalonyx"
"Chibchanomys_orcesi",NA,NA,NA,NA,NA,NA,NA,NA,"Rodentia","Cricetidae","Chibchanomys","orcesi"
"Chibchanomys_trichotis",NA,49.99,0.97,222554.14,NA,NA,NA,NA,"Rodentia","Cricetidae","Chibchanomys","trichotis"
"Chilomys_instans",NA,19,NA,84512.45,NA,NA,NA,NA,"Rodentia","Cricetidae","Chilomys","instans"
"Chilonatalus_micropus",NA,NA,NA,192773.97,NA,"carnivore","1","1","Chiroptera","Natalidae","Chilonatalus","micropus"
"Chilonatalus_tumidifrons",NA,3.62,NA,1525.32,NA,"carnivore","1","1","Chiroptera","Natalidae","Chilonatalus","tumidifrons"
"Chimarrogale_hantu",103.5,54.99,NA,24502.23,NA,"carnivore","2","1","Soricomorpha","Soricidae","Chimarrogale","hantu"
"Chimarrogale_himalayica",107.52,33.5,NA,2340589.67,"other","carnivore","2","2","Soricomorpha","Soricidae","Chimarrogale","himalayica"
"Chimarrogale_phaeura",100.49,NA,NA,10154.88,NA,"carnivore","2","1","Soricomorpha","Soricidae","Chimarrogale","phaeura"
"Chimarrogale_platycephalus",116.49,36.32,NA,144298.51,"diurnal","carnivore","2","2","Soricomorpha","Soricidae","Chimarrogale","platycephalus"
"Chimarrogale_styani",102,NA,NA,670833.47,NA,"carnivore","2","1","Soricomorpha","Soricidae","Chimarrogale","styani"
"Chimarrogale_sumatrana",NA,NA,NA,16144.13,NA,"carnivore","2","1","Soricomorpha","Soricidae","Chimarrogale","sumatrana"
