Station,Camera,Species,DateTimeOriginal,Date,Time
8,8A,Dasyprocta-fuliginosa,7/14/18 11:28,7/14/18,11:28:47
4,4A,Mazama-americana,7/14/18 11:46,7/14/18,11:46:42
24,24B,Pecari-tajacu,7/14/18 13:45,7/14/18,13:45:07
18,18B,Tayassu-pecari,7/14/18 13:47,7/14/18,13:47:42
8,8A,Mazama-gouazoubira,7/14/18 16:29,7/14/18,16:29:35
22,22A,Dasyprocta-fuliginosa,7/14/18 16:43,7/14/18,16:43:50
13,13A,Psophia-crepitans,7/14/18 17:41,7/14/18,17:41:08
9,9A,Mazama-americana,7/14/18 20:21,7/14/18,20:21:05
5,5A,Tapirus-terrestris,7/15/18 0:37,7/15/18,0:37:00
1,1B,Dasypus-novemcinctus,7/15/18 1:08,7/15/18,1:08:02
26,26A,Didelphis-marsupialis,7/15/18 3:21,7/15/18,3:21:21
21,21B,Dasypus-novemcinctus,7/15/18 4:40,7/15/18,4:40:53
13,13A,Psophia-crepitans,7/15/18 6:27,7/15/18,6:27:06
11,11A,Mazama-americana,7/15/18 7:13,7/15/18,7:13:34
13,13A,Pecari-tajacu,7/15/18 13:21,7/15/18,13:21:30
16,16A,Leucopternis-melanops,7/15/18 13:49,7/15/18,13:49:36
15,15A,Dasyprocta-fuliginosa,7/15/18 14:54,7/15/18,14:54:29
30,30B,Psophia-crepitans,7/15/18 17:00,7/15/18,17:00:20
15,15B,Myoprocta-pratti,7/15/18 17:53,7/15/18,17:53:55
22,22A,Mitu-salvini,7/15/18 18:00,7/15/18,18:00:09
24,24A,Cuniculus-paca,7/15/18 19:23,7/15/18,19:23:32
10,10A,Dasyprocta-fuliginosa,7/15/18 19:46,7/15/18,19:46:23
4,4B,Cuniculus-paca,7/15/18 20:01,7/15/18,20:01:34
22,22A,Tapirus-terrestris,7/16/18 1:06,7/16/18,1:06:58
18,18A,Tamandua-tetradactyla,7/16/18 3:06,7/16/18,3:06:01
5,5A,NAN-NAN,7/16/18 5:51,7/16/18,5:51:00
8,8A,Mazama-americana,7/16/18 5:57,7/16/18,5:57:03
4,4A,Pecari-tajacu,7/16/18 8:38,7/16/18,8:38:11
16,16A,Myrmecophaga-tridactyla,7/16/18 16:51,7/16/18,16:51:29
21,21A,Dasyprocta-fuliginosa,7/16/18 16:56,7/16/18,16:56:54
21,21A,Cuniculus-paca,7/16/18 22:11,7/16/18,22:11:42
2,2B,Mazama-gouazoubira,7/16/18 23:43,7/16/18,23:43:43
9,9A,Mazama-americana,7/17/18 0:55,7/17/18,0:55:46
2,2B,Dasypus-novemcinctus,7/17/18 3:30,7/17/18,3:30:19
24,24A,Cuniculus-paca,7/17/18 3:31,7/17/18,3:31:46
4,4B,Myoprocta-pratti,7/17/18 6:40,7/17/18,6:40:49
29,29A,Mitu-salvini,7/17/18 7:44,7/17/18,7:44:19
3,3A,Eira-barbara,7/17/18 9:04,7/17/18,9:04:13
8,8A,Mazama-gouazoubira,7/17/18 9:41,7/17/18,9:41:39
21,21A,Dasyprocta-fuliginosa,7/17/18 9:59,7/17/18,9:59:02
3,3A,Eira-barbara,7/17/18 11:10,7/17/18,11:10:26
11,11A,Eira-barbara,7/17/18 11:42,7/17/18,11:42:08
22,22A,Mazama-gouazoubira,7/17/18 17:18,7/17/18,17:18:34
23,23B,Cuniculus-paca,7/17/18 22:27,7/17/18,22:27:43
22,22A,Dasyprocta-fuliginosa,7/18/18 6:14,7/18/18,6:14:32
2,2B,Eira-barbara,7/18/18 6:41,7/18/18,6:41:17
15,15B,Mazama-gouazoubira,7/18/18 9:01,7/18/18,9:01:40
22,22A,Pecari-tajacu,7/18/18 14:43,7/18/18,14:43:38
10,10A,Eira-barbara,7/18/18 15:18,7/18/18,15:18:08
7,7B,Cebus-albifrons,7/18/18 15:48,7/18/18,15:48:57
30,30B,Pecari-tajacu,7/18/18 16:52,7/18/18,16:52:04
8,8B,Mazama-gouazoubira,7/18/18 18:00,7/18/18,18:00:20
21,21A,Cuniculus-paca,7/18/18 23:31,7/18/18,23:31:02
21,21A,Cuniculus-paca,7/19/18 0:09,7/19/18,0:09:37
21,21A,Mazama-americana,7/19/18 2:19,7/19/18,2:19:03
22,22A,Dasyprocta-fuliginosa,7/19/18 7:03,7/19/18,7:03:33
15,15A,NA-NA,7/19/18 8:50,7/19/18,8:50:09
7,7B,Pecari-tajacu,7/19/18 9:46,7/19/18,9:46:23
13,13A,Psophia-crepitans,7/19/18 12:39,7/19/18,12:39:39
18,18A,Pecari-tajacu,7/19/18 13:08,7/19/18,13:08:12
4,4A,Mazama-gouazoubira,7/19/18 21:04,7/19/18,21:04:30
9,9A,Tapirus-terrestris,7/19/18 21:18,7/19/18,21:18:40
4,4A,Tapirus-terrestris,7/19/18 21:24,7/19/18,21:24:46
9,9A,Tapirus-terrestris,7/19/18 22:45,7/19/18,22:45:35
9,9A,Tapirus-terrestris,7/20/18 1:23,7/20/18,1:23:20
24,24A,Cuniculus-paca,7/20/18 1:55,7/20/18,1:55:16
9,9A,Tapirus-terrestris,7/20/18 2:59,7/20/18,2:59:54
13,13A,Dasyprocta-fuliginosa,7/20/18 6:33,7/20/18,6:33:33
12,12A,Mazama-americana,7/20/18 9:38,7/20/18,9:38:34
4,4B,Pecari-tajacu,7/20/18 13:32,7/20/18,13:32:38
11,11A,Mazama-gouazoubira,7/20/18 16:14,7/20/18,16:14:51
11,11A,Mazama-gouazoubira,7/20/18 17:18,7/20/18,17:18:03
24,24A,Mazama-americana,7/20/18 17:23,7/20/18,17:23:27
13,13B,Dasyprocta-fuliginosa,7/20/18 17:29,7/20/18,17:29:32
1,1B,Psophia-crepitans,7/20/18 17:55,7/20/18,17:55:05
30,30B,Pecari-tajacu,7/20/18 18:01,7/20/18,18:01:16
30,30B,Tayassu-pecari,7/20/18 18:07,7/20/18,18:07:10
8,8B,NAN-NAN,7/20/18 19:59,7/20/18,19:59:25
9,9B,Tapirus-terrestris,7/20/18 20:44,7/20/18,20:44:42
3,3B,Cuniculus-paca,7/21/18 0:30,7/21/18,0:30:13
4,4B,Tamandua-tetradactyla,7/21/18 3:27,7/21/18,3:27:37
9,9A,Tapirus-terrestris,7/21/18 3:45,7/21/18,3:45:29
18,18A,Mazama-americana,7/21/18 5:09,7/21/18,5:09:52
7,7B,Mitu-salvini,7/21/18 6:07,7/21/18,6:07:12
18,18A,Hadroscirus-spadiceus,7/21/18 7:51,7/21/18,7:51:01
7,7A,Mitu-salvini,7/21/18 10:13,7/21/18,10:13:25
7,7B,Nasua-nasua,7/21/18 10:22,7/21/18,10:22:05
13,13A,Dasyprocta-fuliginosa,7/21/18 10:55,7/21/18,10:55:12
13,13A,Psophia-crepitans,7/21/18 11:08,7/21/18,11:08:11
13,13B,Dasyprocta-fuliginosa,7/21/18 14:41,7/21/18,14:41:58
7,7A,Psophia-crepitans,7/21/18 16:15,7/21/18,16:15:44
13,13A,Mazama-gouazoubira,7/21/18 18:07,7/21/18,18:07:05
25,25A,Atelocynus-microtis,7/21/18 18:58,7/21/18,18:58:08
25,25A,Pecari-tajacu,7/22/18 1:53,7/22/18,1:53:16
18,18A,Mazama-gouazoubira,7/22/18 4:14,7/22/18,4:14:01
2,2B,Cuniculus-paca,7/22/18 4:56,7/22/18,4:56:32
15,15B,Tamandua-tetradactyla,7/22/18 5:57,7/22/18,5:57:24
25,25A,Tayassu-pecari,7/22/18 6:20,7/22/18,6:20:13
25,25A,Pecari-tajacu,7/22/18 6:35,7/22/18,6:35:17
3,3B,Mazama-gouazoubira,7/22/18 8:42,7/22/18,8:42:29
2,2B,Dasyprocta-fuliginosa,7/22/18 10:13,7/22/18,10:13:08
4,4A,Myrmecophaga-tridactyla,7/22/18 15:32,7/22/18,15:32:22
4,4B,Psophia-crepitans,7/22/18 17:48,7/22/18,17:48:07
12,12B,Cuniculus-paca,7/22/18 21:59,7/22/18,21:59:00
2,2B,Atelocynus-microtis,7/23/18 4:41,7/23/18,4:41:22
2,2B,Tamandua-tetradactyla,7/23/18 5:57,7/23/18,5:57:01
2,2B,Atelocynus-microtis,7/23/18 6:38,7/23/18,6:38:49
22,22A,Pecari-tajacu,7/23/18 7:29,7/23/18,7:29:59
22,22A,Pecari-tajacu,7/23/18 8:19,7/23/18,8:19:35
8,8B,Mazama-gouazoubira,7/23/18 11:11,7/23/18,11:11:36
2,2A,Panthera-onca,7/23/18 12:30,7/23/18,12:30:17
8,8B,Mazama-gouazoubira,7/23/18 12:53,7/23/18,12:53:36
16,16A,Dasyprocta-fuliginosa,7/23/18 13:03,7/23/18,13:03:14
20,20B,Tayassu-pecari,7/23/18 16:48,7/23/18,16:48:36
30,30B,Mazama-gouazoubira,7/24/18 10:01,7/24/18,10:01:32
8,8B,Mazama-gouazoubira,7/24/18 10:21,7/24/18,10:21:28
15,15A,Mazama-gouazoubira,7/24/18 12:09,7/24/18,12:09:03
9,9B,Psophia-crepitans,7/24/18 17:28,7/24/18,17:28:09
24,24A,Cuniculus-paca,7/25/18 1:18,7/25/18,1:18:51
9,9B,Mazama-americana,7/25/18 5:35,7/25/18,5:35:35
7,7A,Pecari-tajacu,7/25/18 5:53,7/25/18,5:53:41
24,24A,Dasyprocta-fuliginosa,7/25/18 6:48,7/25/18,6:48:44
8,8B,Mazama-americana,7/25/18 10:40,7/25/18,10:40:16
14,14A,Dasyprocta-fuliginosa,7/25/18 15:09,7/25/18,15:09:13
28,28A,Psophia-crepitans,7/25/18 16:24,7/25/18,16:24:16
2,2B,Atelocynus-microtis,7/26/18 0:01,7/26/18,0:01:40
20,20B,Pecari-tajacu,7/26/18 7:02,7/26/18,7:02:36
20,20A,Tayassu-pecari,7/26/18 7:02,7/26/18,7:02:36
8,8B,Mazama-gouazoubira,7/26/18 9:09,7/26/18,9:09:27
21,21A,Dasyprocta-fuliginosa,7/26/18 12:12,7/26/18,12:12:43
8,8B,Mazama-gouazoubira,7/26/18 15:40,7/26/18,15:40:37
12,12A,Dasyprocta-fuliginosa,7/26/18 16:02,7/26/18,16:02:34
12,12A,Psophia-crepitans,7/26/18 16:05,7/26/18,16:05:24
22,22A,Mitu-salvini,7/26/18 17:09,7/26/18,17:09:07
18,18A,Dasyprocta-fuliginosa,7/26/18 17:41,7/26/18,17:41:51
22,22A,Mazama-americana,7/26/18 21:06,7/26/18,21:06:12
24,24A,Cuniculus-paca,7/26/18 23:37,7/26/18,23:37:35
18,18A,Tayassu-pecari,7/27/18 7:37,7/27/18,7:37:51
3,3A,Myrmecophaga-tridactyla,7/27/18 9:52,7/27/18,9:52:14
26,26B,Pecari-tajacu,7/27/18 11:34,7/27/18,11:34:34
8,8B,Mazama-americana,7/27/18 12:32,7/27/18,12:32:27
28,28A,Tayassu-pecari,7/27/18 16:45,7/27/18,16:45:01
18,18A,Dasyprocta-fuliginosa,7/27/18 18:01,7/27/18,18:01:51
24,24A,Cuniculus-paca,7/27/18 19:22,7/27/18,19:22:33
21,21B,Dasypus-novemcinctus,7/27/18 19:24,7/27/18,19:24:52
22,22A,Mazama-americana,7/27/18 21:24,7/27/18,21:24:30
3,3B,Cuniculus-paca,7/27/18 22:36,7/27/18,22:36:23
8,8B,Mazama-gouazoubira,7/28/18 5:05,7/28/18,5:05:00
8,8B,Mazama-gouazoubira,7/28/18 6:16,7/28/18,6:16:22
21,21B,Mitu-salvini,7/28/18 6:30,7/28/18,6:30:15
4,4B,Atelocynus-microtis,7/28/18 6:43,7/28/18,6:43:58
8,8B,Dasyprocta-fuliginosa,7/28/18 7:28,7/28/18,7:28:03
13,13A,Tayassu-pecari,7/28/18 9:26,7/28/18,9:26:41
13,13B,Pecari-tajacu,7/28/18 9:27,7/28/18,9:27:04
21,21A,Dasyprocta-fuliginosa,7/28/18 10:53,7/28/18,10:53:54
22,22A,Mazama-americana,7/28/18 12:16,7/28/18,12:16:48
25,25A,Mazama-gouazoubira,7/28/18 12:31,7/28/18,12:31:56
14,14A,Dasyprocta-fuliginosa,7/28/18 17:55,7/28/18,17:55:29
30,30B,Atelocynus-microtis,7/28/18 22:51,7/28/18,22:51:48
24,24A,Cuniculus-paca,7/28/18 22:52,7/28/18,22:52:12
17,17B,Mazama-americana,7/29/18 6:06,7/29/18,6:06:32
29,29A,Tayassu-pecari,7/29/18 9:00,7/29/18,9:00:38
15,15B,Cebus-albifrons,7/29/18 10:19,7/29/18,10:19:31
4,4A,Mazama-gouazoubira,7/29/18 16:33,7/29/18,16:33:43
11,11A,Mazama-americana,7/29/18 16:45,7/29/18,16:45:14
16,16A,Nasua-nasua,7/29/18 16:49,7/29/18,16:49:26
4,4B,Tayassu-pecari,7/29/18 22:01,7/29/18,22:01:05
30,30B,Mazama-americana,7/29/18 23:09,7/29/18,23:09:57
18,18A,Cuniculus-paca,7/30/18 3:50,7/30/18,3:50:51
24,24A,Tinamu-major,7/30/18 6:36,7/30/18,6:36:34
24,24B,Crypturellus-undulatus,7/30/18 6:42,7/30/18,6:42:39
22,22A,Tayassu-pecari,7/30/18 6:55,7/30/18,6:55:27
30,30B,Nothocrax-urumutum,7/30/18 8:04,7/30/18,8:04:19
22,22A,Psophia-crepitans,7/30/18 8:32,7/30/18,8:32:12
15,15A,Pecari-tajacu,7/30/18 13:04,7/30/18,13:04:26
15,15B,Tayassu-pecari,7/30/18 13:06,7/30/18,13:06:20
13,13B,Dasyprocta-fuliginosa,7/30/18 16:39,7/30/18,16:39:58
2,2B,Mitu-salvini,7/30/18 18:00,7/30/18,18:00:12
15,15B,Tayassu-pecari,7/31/18 4:14,7/31/18,4:14:36
24,24A,Tinamu-major,7/31/18 6:53,7/31/18,6:53:05
22,22A,Psophia-crepitans,7/31/18 8:06,7/31/18,8:06:37
7,7A,Nothocrax-urumutum,7/31/18 9:42,7/31/18,9:42:07
3,3A,Tayassu-pecari,7/31/18 13:55,7/31/18,13:55:06
3,3A,Pecari-tajacu,7/31/18 14:01,7/31/18,14:01:31
18,18A,Dasyprocta-fuliginosa,7/31/18 14:27,7/31/18,14:27:51
9,9A,Mazama-gouazoubira,7/31/18 15:05,7/31/18,15:05:53
24,24B,Cuniculus-paca,7/31/18 20:51,7/31/18,20:51:41
22,22A,Cuniculus-paca,7/31/18 21:50,7/31/18,21:50:53
17,17A,Mazama-americana,8/1/18 6:40,8/1/18,6:40:00
8,8B,Mazama-americana,8/1/18 8:11,8/1/18,8:11:39
19,19A,Tayassu-pecari,8/1/18 10:34,8/1/18,10:34:41
2,2A,Leucopternis-melanops,8/1/18 12:18,8/1/18,12:18:30
8,8B,Pecari-tajacu,8/1/18 12:40,8/1/18,12:40:05
9,9B,Psophia-crepitans,8/1/18 15:41,8/1/18,15:41:29
4,4B,Nothocrax-urumutum,8/1/18 17:40,8/1/18,17:40:23
9,9B,Tapirus-terrestris,8/1/18 20:20,8/1/18,20:20:39
15,15A,Mazama-gouazoubira,8/2/18 1:50,8/2/18,1:50:14
9,9B,Tapirus-terrestris,8/2/18 6:21,8/2/18,6:21:50
9,9A,Nasua-nasua,8/2/18 6:56,8/2/18,6:56:27
24,24A,Tayassu-pecari,8/2/18 8:28,8/2/18,8:28:57
24,24B,Pecari-tajacu,8/2/18 8:34,8/2/18,8:34:42
30,30B,Mazama-gouazoubira,8/2/18 10:58,8/2/18,10:58:30
9,9A,NA-NA,8/2/18 14:36,8/2/18,14:36:10
28,28A,Mazama-gouazoubira,8/2/18 18:22,8/2/18,18:22:49
2,2B,Cuniculus-paca,8/2/18 19:35,8/2/18,19:35:41
9,9A,Dasypus-novemcinctus,8/2/18 19:48,8/2/18,19:48:53
3,3B,Cuniculus-paca,8/2/18 19:55,8/2/18,19:55:49
18,18A,Atelocynus-microtis,8/2/18 20:38,8/2/18,20:38:51
2,2B,Atelocynus-microtis,8/3/18 1:40,8/3/18,1:40:02
1,1B,Psophia-crepitans,8/3/18 6:38,8/3/18,6:38:53
10,10B,Pecari-tajacu,8/3/18 11:07,8/3/18,11:07:57
9,9A,Mazama-americana,8/3/18 12:13,8/3/18,12:13:17
13,13A,Psophia-crepitans,8/3/18 13:58,8/3/18,13:58:11
18,18A,Psophia-crepitans,8/3/18 17:16,8/3/18,17:16:51
18,18A,NA-NA,8/3/18 18:04,8/3/18,18:04:51
15,15B,Mazama-gouazoubira,8/4/18 3:20,8/4/18,3:20:15
18,18A,NAN-NAN,8/4/18 4:29,8/4/18,4:29:51
30,30B,Atelocynus-microtis,8/4/18 5:30,8/4/18,5:30:47
29,29A,Mitu-salvini,8/4/18 8:58,8/4/18,8:58:11
8,8B,Pecari-tajacu,8/4/18 10:11,8/4/18,10:11:33
29,29A,Mitu-salvini,8/4/18 10:21,8/4/18,10:21:48
22,22A,Dasyprocta-fuliginosa,8/4/18 11:15,8/4/18,11:15:35
22,22A,Dasyprocta-fuliginosa,8/4/18 14:44,8/4/18,14:44:57
2,2B,Atelocynus-microtis,8/4/18 17:35,8/4/18,17:35:23
13,13A,Dasypus-novemcinctus,8/4/18 21:42,8/4/18,21:42:38
17,17A,Mazama-americana,8/4/18 22:05,8/4/18,22:05:00
25,25A,Leopardus-pardalis,8/5/18 2:16,8/5/18,2:16:16
1,1B,Psophia-crepitans,8/5/18 6:28,8/5/18,6:28:33
16,16A,Mazama-gouazoubira,8/5/18 7:32,8/5/18,7:32:41
8,8B,Mazama-gouazoubira,8/5/18 7:44,8/5/18,7:44:58
29,29A,Mitu-salvini,8/5/18 10:55,8/5/18,10:55:47
18,18A,Dasyprocta-fuliginosa,8/5/18 13:06,8/5/18,13:06:51
28,28A,Myrmecophaga-tridactyla,8/5/18 15:40,8/5/18,15:40:23
29,29A,Nothocrax-urumutum,8/5/18 17:14,8/5/18,17:14:03
14,14A,Cuniculus-paca,8/5/18 23:41,8/5/18,23:41:56
25,25A,Pecari-tajacu,8/6/18 6:01,8/6/18,6:01:30
25,25A,Tayassu-pecari,8/6/18 6:04,8/6/18,6:04:12
23,23B,NA-NA,8/6/18 6:21,8/6/18,6:21:49
25,25A,Tayassu-pecari,8/6/18 6:36,8/6/18,6:36:27
25,25A,Dasyprocta-fuliginosa,8/6/18 6:52,8/6/18,6:52:50
10,10B,Pecari-tajacu,8/6/18 9:36,8/6/18,9:36:29
